Depth Level,Link
1,https://en.wikipedia.org/wiki/Bosnia_(region)
1,https://en.wikipedia.org/wiki/Bosnia_(disambiguation)
1,https://en.wikipedia.org/wiki/BIH_(disambiguation)
1,https://en.wikipedia.org/wiki/Serbo-Croatian_language
1,https://en.wikipedia.org/wiki/Flag_of_Bosnia_and_Herzegovina
1,https://en.wikipedia.org/wiki/Coat_of_arms_of_Bosnia_and_Herzegovina
1,https://en.wikipedia.org/wiki/National_Anthem_of_Bosnia_and_Herzegovina
1,https://en.wikipedia.org/wiki/Europe
1,https://en.wikipedia.org/wiki/Sarajevo
1,https://en.wikipedia.org/wiki/Demonym
2,https://en.wikipedia.org/wiki/Bosnia_(disambiguation)
2,https://en.wikipedia.org/wiki/Sarajevo
2,https://en.wikipedia.org/wiki/Banja_Luka
2,https://en.wikipedia.org/wiki/Demonym
2,https://en.wikipedia.org/wiki/Bosnians
2,https://en.wikipedia.org/wiki/Time_zone
2,https://en.wikipedia.org/wiki/UTC%2B1
2,https://en.wikipedia.org/wiki/Central_European_Time
2,https://en.wikipedia.org/wiki/Daylight_saving_time
2,https://en.wikipedia.org/wiki/UTC%2B2
2,https://en.wikipedia.org/wiki/Bosnia
2,https://en.wikipedia.org/wiki/Banate_of_Bosnia
2,https://en.wikipedia.org/wiki/Kingdom_of_Bosnia
2,https://en.wikipedia.org/wiki/Bosnia_Sanjak
2,https://en.wikipedia.org/wiki/Bosnia_Eyalet
2,https://en.wikipedia.org/wiki/Bosnia_Vilayet
2,https://en.wikipedia.org/wiki/Condominium_of_Bosnia_and_Herzegovina
2,https://en.wikipedia.org/wiki/Socialist_Republic_of_Bosnia_and_Herzegovina
2,https://en.wikipedia.org/wiki/Republic_of_Bosnia_and_Herzegovina
2,https://en.wikipedia.org/wiki/Federation_of_Bosnia_and_Herzegovina
2,https://en.wikipedia.org/wiki/Benign_intracranial_hypertension
2,https://en.wikipedia.org/wiki/Bounding_interval_hierarchy
2,https://en.wikipedia.org/wiki/Bureau_International_de_l%27Heure
2,https://en.wikipedia.org/wiki/Bitch_(slang)
2,https://en.wikipedia.org/wiki/Rade_language
2,https://en.wikipedia.org/wiki/Bihari_language
2,https://en.wikipedia.org/wiki/Eastern_Sierra_Regional_Airport
2,https://en.wikipedia.org/wiki/British_International_Helicopters
2,https://en.wikipedia.org/wiki/Serbo-Croatian_(disambiguation)
2,https://en.wikipedia.org/wiki/Languages_of_Serbia
2,https://en.wikipedia.org/wiki/Languages_of_Croatia
2,https://en.wikipedia.org/wiki/Languages_of_Bosnia_and_Herzegovina
2,https://en.wikipedia.org/wiki/Languages_of_Montenegro
2,https://en.wikipedia.org/wiki/Languages_of_Kosovo
2,https://en.wikipedia.org/wiki/Serbs
2,https://en.wikipedia.org/wiki/Croats
2,https://en.wikipedia.org/wiki/Bosniaks
2,https://en.wikipedia.org/wiki/Montenegrins
2,https://en.wikipedia.org/wiki/Vexillological_symbol
2,https://en.wikipedia.org/wiki/National_flag
2,https://en.wikipedia.org/wiki/Mladen_Kolobari%C4%87
2,https://en.wikipedia.org/wiki/Carlos_Westendorp
2,https://en.wikipedia.org/wiki/ARBiH
2,https://en.wikipedia.org/wiki/Republic_of_Bosnia_and_Herzegovina
2,https://en.wikipedia.org/wiki/Alija_Izetbegovi%C4%87
2,https://en.wikipedia.org/wiki/National_flag
2,https://en.wikipedia.org/wiki/Right_triangle
2,https://en.wikipedia.org/wiki/Star_(polygon)
2,https://en.wikipedia.org/wiki/Banner_of_arms
2,https://en.wikipedia.org/wiki/Armiger
2,https://en.wikipedia.org/wiki/Shield_(heraldry)
2,https://en.wikipedia.org/wiki/Fojnica_Armorial
2,https://en.wikipedia.org/wiki/Saltire
2,https://en.wikipedia.org/wiki/Moor%27s_head
2,https://en.wikipedia.org/wiki/Escutcheon_(heraldry)
2,https://en.wikipedia.org/wiki/Kingdom_of_Bosnia
2,https://en.wikipedia.org/wiki/Bosnia-Herzegovina
2,https://en.wikipedia.org/wiki/Dalmatia
2,https://en.wikipedia.org/wiki/Du%C5%A1an_%C5%A0esti%C4%87
2,https://en.wikipedia.org/wiki/Jedna_si_jedina
2,https://en.wikipedia.org/wiki/U.S._Navy_Band
2,https://en.wikipedia.org/wiki/A-flat_major
2,https://en.wikipedia.org/wiki/Du%C5%A1an_%C5%A0esti%C4%87
2,https://en.wikipedia.org/wiki/Dayton_Agreement
2,https://en.wikipedia.org/wiki/Bosnian_War
2,https://en.wikipedia.org/wiki/Copyright
2,https://en.wikipedia.org/wiki/National_anthem
2,https://en.wikipedia.org/wiki/Kingdom_of_Yugoslavia
2,https://en.wikipedia.org/wiki/Europe_(disambiguation)
2,https://en.wikipedia.org/wiki/Continent#Area_and_population
2,https://en.wikipedia.org/wiki/List_of_continents_and_continental_subregions_by_population#Distribution_of_populations_by_the_United_Nations_geoscheme
2,https://en.wikipedia.org/wiki/Gross_domestic_product
2,https://en.wikipedia.org/wiki/Purchasing_power_parity
2,https://en.wikipedia.org/wiki/US$
2,https://en.wikipedia.org/wiki/List_of_continents_by_GDP#Continents_by_GDP_(PPP)
2,https://en.wikipedia.org/wiki/List_of_continents_by_GDP#Continents_by_GDP_(nominal)
2,https://en.wikipedia.org/wiki/List_of_continents_by_GDP#Continents_by_GDP_per_capita_(nominal)
2,https://en.wikipedia.org/wiki/Christianity_in_Europe
2,https://en.wikipedia.org/wiki/Sarajevo_(disambiguation)
2,https://en.wikipedia.org/wiki/Capital_city
2,https://en.wikipedia.org/wiki/Stari_Grad,_Sarajevo
2,https://en.wikipedia.org/wiki/Centar,_Sarajevo
2,https://en.wikipedia.org/wiki/Gazi_Husrev-beg_Mosque
2,https://en.wikipedia.org/wiki/Sacred_Heart_Cathedral,_Sarajevo
2,https://en.wikipedia.org/wiki/Cathedral_of_the_Nativity_of_the_Theotokos,_Sarajevo
2,https://en.wikipedia.org/wiki/Sebilj_in_Sarajevo
2,https://en.wikipedia.org/wiki/Sarajevo_cable_car
2,https://en.wikipedia.org/wiki/Latin_Bridge
2,https://en.wikipedia.org/wiki/Linguistics
2,https://en.wikipedia.org/wiki/Outline_of_linguistics
2,https://en.wikipedia.org/wiki/History_of_linguistics
2,https://en.wikipedia.org/wiki/Index_of_linguistics_articles
2,https://en.wikipedia.org/wiki/Historical_linguistics
2,https://en.wikipedia.org/wiki/Lexicography
2,https://en.wikipedia.org/wiki/Morphology_(linguistics)
2,https://en.wikipedia.org/wiki/Phonology
2,https://en.wikipedia.org/wiki/Pragmatics
2,https://en.wikipedia.org/wiki/Semantics
3,https://en.wikipedia.org/wiki/Banja_Loka
3,https://en.wikipedia.org/wiki/Serbian_language
3,https://en.wikipedia.org/wiki/List_of_cities_in_Bosnia_and_Herzegovina
3,https://en.wikipedia.org/wiki/Ferhat_Pasha_Mosque_(Banja_Luka)
3,https://en.wikipedia.org/wiki/Cathedral_of_Christ_the_Saviour,_Banja_Luka
3,https://en.wikipedia.org/wiki/Mariastern_Abbey,_Banja_Luka
3,https://en.wikipedia.org/wiki/Kastel_Fortress
3,https://en.wikipedia.org/wiki/List_of_sovereign_states
3,https://en.wikipedia.org/wiki/Political_divisions_of_Bosnia_and_Herzegovina
3,https://en.wikipedia.org/wiki/Republika_Srpska
3,https://en.wikipedia.org/wiki/Bosniaks
3,https://en.wikipedia.org/wiki/Bosnians_(disambiguation)
3,https://en.wikipedia.org/wiki/Germany
3,https://en.wikipedia.org/wiki/United_States
3,https://en.wikipedia.org/wiki/Sweden
3,https://en.wikipedia.org/wiki/Italy
3,https://en.wikipedia.org/wiki/Norway
3,https://en.wikipedia.org/wiki/France
3,https://en.wikipedia.org/wiki/Australia
3,https://en.wikipedia.org/wiki/Canada
3,https://en.wikipedia.org/wiki/List_of_time_zones_by_country
3,https://en.wikipedia.org/wiki/Lists_of_time_zones
3,https://en.wikipedia.org/wiki/Time_zone_(disambiguation)
3,https://en.wikipedia.org/wiki/Standard_time
3,https://en.wikipedia.org/wiki/Legal
3,https://en.wikipedia.org/wiki/Commerce
3,https://en.wikipedia.org/wiki/Social
3,https://en.wikipedia.org/wiki/Country
3,https://en.wikipedia.org/wiki/Administrative_division
3,https://en.wikipedia.org/wiki/Longitude
3,https://en.wikipedia.org/wiki/Meridian_(geography)
3,https://en.wikipedia.org/wiki/Longitude_15_degrees_E
3,https://en.wikipedia.org/wiki/Date-time_group
3,https://en.wikipedia.org/wiki/Time_in_Europe
3,https://en.wikipedia.org/wiki/Western_European_Time
3,https://en.wikipedia.org/wiki/Greenwich_Mean_Time
3,https://en.wikipedia.org/wiki/Western_European_Time
3,https://en.wikipedia.org/wiki/Greenwich_Mean_Time
3,https://en.wikipedia.org/wiki/Western_European_Summer_Time
3,https://en.wikipedia.org/wiki/British_Summer_Time
3,https://en.wikipedia.org/wiki/Standard_time
3,https://en.wikipedia.org/wiki/Central_Europe
3,https://en.wikipedia.org/wiki/Western_Europe
3,https://en.wikipedia.org/wiki/Southeast_Europe
3,https://en.wikipedia.org/wiki/Coordinated_Universal_Time
3,https://en.wikipedia.org/wiki/UTC_offset
3,https://en.wikipedia.org/wiki/Africa
3,https://en.wikipedia.org/wiki/15th_meridian_east
3,https://en.wikipedia.org/wiki/Member_state_of_the_European_Union
3,https://en.wikipedia.org/wiki/European_Union
3,https://en.wikipedia.org/wiki/DST_(disambiguation)
3,https://en.wikipedia.org/wiki/Daylight_Savings_(film)
3,https://en.wikipedia.org/wiki/Northern_Hemisphere
3,https://en.wikipedia.org/wiki/Southern_Hemisphere
3,https://en.wikipedia.org/wiki/Daylight_saving_time_in_the_United_States
3,https://en.wikipedia.org/wiki/Daylight_saving_time_in_Canada
3,https://en.wikipedia.org/wiki/British_Summer_Time
3,https://en.wikipedia.org/wiki/Summer_time_in_Europe
3,https://en.wikipedia.org/wiki/Summer
3,https://en.wikipedia.org/wiki/Spring_(season)
3,https://en.wikipedia.org/wiki/Meridian_(geography)
3,https://en.wikipedia.org/wiki/Longitude_30_degrees_E
3,https://en.wikipedia.org/wiki/Date-time_group
3,https://en.wikipedia.org/wiki/Time_in_Europe
3,https://en.wikipedia.org/wiki/Western_European_Time
3,https://en.wikipedia.org/wiki/Greenwich_Mean_Time
3,https://en.wikipedia.org/wiki/Western_European_Time
3,https://en.wikipedia.org/wiki/Greenwich_Mean_Time
3,https://en.wikipedia.org/wiki/Western_European_Summer_Time
3,https://en.wikipedia.org/wiki/British_Summer_Time
3,https://en.wikipedia.org/wiki/Herzegovina#Population
3,https://en.wikipedia.org/wiki/Politics_of_Bosnia_and_Herzegovina
3,https://en.wikipedia.org/wiki/Federal_republic
3,https://en.wikipedia.org/wiki/Directorial_system
3,https://en.wikipedia.org/wiki/High_Representative_for_Bosnia_and_Herzegovina
3,https://en.wikipedia.org/wiki/Christian_Schmidt
3,https://en.wikipedia.org/wiki/Chairman_of_the_Presidency_of_Bosnia_and_Herzegovina
3,https://en.wikipedia.org/wiki/%C5%BDeljka_Cvijanovi%C4%87
3,https://en.wikipedia.org/wiki/Presidency_of_Bosnia_and_Herzegovina
3,https://en.wikipedia.org/wiki/%C5%BDeljko_Kom%C5%A1i%C4%87
3,https://en.wikipedia.org/wiki/Kingdom_of_Bosnia
3,https://en.wikipedia.org/wiki/Hungarian_language
3,https://en.wikipedia.org/wiki/Ban_(title)
3,https://en.wikipedia.org/wiki/Kingdom_of_Hungary
3,https://en.wikipedia.org/wiki/Flag_of_Bosnia
3,https://en.wikipedia.org/wiki/Coat_of_arms_of_Bosnia
3,https://en.wikipedia.org/wiki/Tvrtko_I
3,https://en.wikipedia.org/wiki/King_of_Bosnia
3,https://en.wikipedia.org/wiki/Bosnia_(early_medieval_polity)
3,https://en.wikipedia.org/wiki/Kingdom_of_Bosnia
3,https://en.wikipedia.org/wiki/Visoko_during_the_Middle_Ages
3,https://en.wikipedia.org/wiki/Jajce
3,https://en.wikipedia.org/wiki/Bobovac
3,https://en.wikipedia.org/wiki/Catholicism
3,https://en.wikipedia.org/wiki/State_Religion
3,https://en.wikipedia.org/wiki/Bosnian_Church
3,https://en.wikipedia.org/wiki/Eastern_Orthodoxy
3,https://en.wikipedia.org/wiki/Bo%C5%A1njani
3,https://en.wikipedia.org/wiki/Politics_of_Bosnia
3,https://en.wikipedia.org/wiki/Feudal_monarchy
3,https://en.wikipedia.org/wiki/Turkish_language
3,https://en.wikipedia.org/wiki/Sanjak
3,https://en.wikipedia.org/wiki/Ottoman_Empire
3,https://en.wikipedia.org/wiki/Flag_of_Bosnia
3,https://en.wikipedia.org/wiki/Siege_of_Jajce
3,https://en.wikipedia.org/wiki/Eyalet_of_Bosnia
3,https://en.wikipedia.org/wiki/Austro-Hungarian_campaign_in_Bosnia_and_Herzegovina_in_1878
3,https://en.wikipedia.org/wiki/Bosansko_Kraji%C5%A1te
3,https://en.wikipedia.org/wiki/Bosnia_Eyalet
3,https://en.wikipedia.org/wiki/Croatia
3,https://en.wikipedia.org/wiki/Ottoman_Turkish_language
3,https://en.wikipedia.org/wiki/Turkish_language
3,https://en.wikipedia.org/wiki/Eyalet
3,https://en.wikipedia.org/wiki/Travnik
3,https://en.wikipedia.org/wiki/Sanjak_of_Bosnia
3,https://en.wikipedia.org/wiki/Bosnia_Vilayet
3,https://en.wikipedia.org/wiki/Croatia
3,https://en.wikipedia.org/wiki/Serbia
3,https://en.wikipedia.org/wiki/Montenegro
3,https://en.wikipedia.org/wiki/Ottoman_Turkish_language
3,https://en.wikipedia.org/wiki/Ottoman_Turkish
3,https://en.wikipedia.org/wiki/Vilayet
3,https://en.wikipedia.org/wiki/Ottoman_Empire
3,https://en.wikipedia.org/wiki/Vilayet_Law
3,https://en.wikipedia.org/wiki/Treaty_of_Berlin_(1878)
3,https://en.wikipedia.org/wiki/Bosnian_Crisis
3,https://en.wikipedia.org/wiki/Austro-Hungarian_rule_in_Bosnia_and_Herzegovina
3,https://en.wikipedia.org/wiki/Montenegro
3,https://en.wikipedia.org/wiki/Serbo-Croatian
3,https://en.wikipedia.org/wiki/Vilayet
3,https://en.wikipedia.org/wiki/Federation_of_Bosnia_and_Herzegovina
3,https://en.wikipedia.org/wiki/Serbian_Cyrillic
3,https://en.wikipedia.org/wiki/German_language
3,https://en.wikipedia.org/wiki/Hungarian_language
3,https://en.wikipedia.org/wiki/Condominium_(international_law)
3,https://en.wikipedia.org/wiki/Cisleithania
3,https://en.wikipedia.org/wiki/Lands_of_the_Crown_of_Saint_Stephen
3,https://en.wikipedia.org/wiki/German_Language
3,https://en.wikipedia.org/wiki/Hungarian_language
3,https://en.wikipedia.org/wiki/Serbo-Croatian
3,https://en.wikipedia.org/wiki/Socialist_Federal_Republic_of_Yugoslavia
3,https://en.wikipedia.org/wiki/Constituent_republic
3,https://en.wikipedia.org/wiki/Socialist_Federal_Republic_of_Yugoslavia
3,https://en.wikipedia.org/wiki/Serbo-Croatian
3,https://en.wikipedia.org/wiki/Politics_of_Bosnia_and_Herzegovina
3,https://en.wikipedia.org/wiki/Marxism-Leninism
3,https://en.wikipedia.org/wiki/One-party_state
3,https://en.wikipedia.org/wiki/Socialist_state
3,https://en.wikipedia.org/wiki/Titoism
3,https://en.wikipedia.org/wiki/One-party_state
3,https://en.wikipedia.org/wiki/Federation_of_Bosnia_and_Herzegovina
3,https://en.wikipedia.org/wiki/Flag_of_the_Republic_of_Bosnia_and_Herzegovina
3,https://en.wikipedia.org/wiki/Jedna_si_jedina
3,https://en.wikipedia.org/wiki/Serbo-Croatian
3,https://en.wikipedia.org/wiki/Secular_state
3,https://en.wikipedia.org/wiki/Bosnian_people
3,https://en.wikipedia.org/wiki/Politics_of_Bosnia_and_Herzegovina
3,https://en.wikipedia.org/wiki/Unitary_state
3,https://en.wikipedia.org/wiki/Dominant-party_system
3,https://en.wikipedia.org/wiki/Parliamentary_republic
3,https://en.wikipedia.org/wiki/Political_divisions_of_Bosnia_and_Herzegovina
3,https://en.wikipedia.org/wiki/Br%C4%8Dko_District
3,https://en.wikipedia.org/wiki/Washington_Agreement_(1994)
3,https://en.wikipedia.org/wiki/Political_divisions_of_Bosnia_and_Herzegovina
3,https://en.wikipedia.org/wiki/Official_language
3,https://en.wikipedia.org/wiki/Bosnian_language
3,https://en.wikipedia.org/wiki/Croatian_language
3,https://en.wikipedia.org/wiki/Serbian_language
3,https://en.wikipedia.org/wiki/Ethnic_group
3,https://en.wikipedia.org/wiki/Bosniaks
3,https://en.wikipedia.org/wiki/Medical_specialty
3,https://en.wikipedia.org/wiki/Neurology
3,https://en.wikipedia.org/wiki/Signs_and_symptoms
3,https://en.wikipedia.org/wiki/Headache
3,https://en.wikipedia.org/wiki/Tinnitus#Pulsatile_tinnitus
3,https://en.wikipedia.org/wiki/Complication_(medicine)
3,https://en.wikipedia.org/wiki/Vision_loss
3,https://en.wikipedia.org/wiki/Risk_factor
3,https://en.wikipedia.org/wiki/Tetracyclines
3,https://en.wikipedia.org/wiki/Medical_diagnosis
3,https://en.wikipedia.org/wiki/Data_structure
3,https://en.wikipedia.org/wiki/Bounding_volume_hierarchy
3,https://en.wikipedia.org/wiki/Kd-tree
3,https://en.wikipedia.org/wiki/Ray_tracing_(graphics)
3,https://en.wikipedia.org/wiki/Bounding_volume_hierarchy
3,https://en.wikipedia.org/wiki/Kd-tree
3,https://en.wikipedia.org/wiki/Kd-tree
3,https://en.wikipedia.org/wiki/Binary_tree
3,https://en.wikipedia.org/wiki/BSP_tree
3,https://en.wikipedia.org/wiki/Bounding_box
3,https://en.wikipedia.org/wiki/French_language
3,https://en.wikipedia.org/wiki/Paris_Observatory
3,https://en.wikipedia.org/wiki/Universal_Time
3,https://en.wikipedia.org/wiki/Time_keeping
3,https://en.wikipedia.org/wiki/Earth_rotation
3,https://en.wikipedia.org/wiki/Reference_frames
3,https://en.wikipedia.org/wiki/Atomic_time
3,https://en.wikipedia.org/wiki/International_Bureau_of_Weights_and_Measures
3,https://en.wikipedia.org/wiki/International_Earth_Rotation_and_Reference_Systems_Service
3,https://en.wikipedia.org/wiki/International_convention
3,https://en.wikipedia.org/wiki/Bitch_(disambiguation)
3,https://en.wikipedia.org/wiki/Slang
3,https://en.wikipedia.org/wiki/English_language
3,https://en.wikipedia.org/wiki/Slang_term
3,https://en.wikipedia.org/wiki/Pejorative
3,https://en.wikipedia.org/wiki/Profanity
3,https://en.wikipedia.org/wiki/Sexism
3,https://en.wikipedia.org/wiki/Taboo
3,https://en.wikipedia.org/wiki/Dog
3,https://en.wikipedia.org/wiki/Sexual_desire
3,https://en.wikipedia.org/wiki/Kru%E2%80%99ng_language
3,https://en.wikipedia.org/wiki/Ede_language
3,https://en.wikipedia.org/wiki/Vietnam
3,https://en.wikipedia.org/wiki/Rade_people
3,https://en.wikipedia.org/wiki/Language_family
3,https://en.wikipedia.org/wiki/Austronesian_languages
3,https://en.wikipedia.org/wiki/Malayo-Polynesian_languages
3,https://en.wikipedia.org/wiki/Malayo-Sumbawan_languages
3,https://en.wikipedia.org/wiki/Chamic_languages
3,https://en.wikipedia.org/wiki/Writing_system
3,https://en.wikipedia.org/wiki/Languages_of_Bihar
3,https://en.wikipedia.org/wiki/India
3,https://en.wikipedia.org/wiki/Nepal
3,https://en.wikipedia.org/wiki/Biharis
3,https://en.wikipedia.org/wiki/Language_family
